country1,country2,games,wins,looses,draws
Argentina,Australia,7,0.714285714,0.142857143,0.142857143
Australia,Argentina,7,0.142857143,0.714285714,0.142857143
Argentina,Belgium,4,0.75,0.25,0
Belgium,Argentina,4,0.25,0.75,0
Argentina,Brazil,108,0.361111111,0.398148148,0.240740741
Brazil,Argentina,108,0.398148148,0.361111111,0.240740741
Argentina,Cameroon,2,0,0.5,0.5
Cameroon,Argentina,2,0.5,0,0.5
Argentina,Canada,1,1,0,0
Canada,Argentina,1,0,1,0
Argentina,Costa Rica,6,0.666666667,0,0.333333333
Costa Rica,Argentina,6,0,0.666666667,0.333333333
Argentina,Croatia,5,0.4,0.4,0.2
Croatia,Argentina,5,0.4,0.4,0.2
Argentina,Denmark,2,0,0.5,0.5
Denmark,Argentina,2,0.5,0,0.5
Argentina,Ecuador,37,0.567567568,0.135135135,0.297297297
Ecuador,Argentina,37,0.135135135,0.567567568,0.297297297
Argentina,England,15,0.2,0.4,0.4
England,Argentina,15,0.4,0.2,0.4
Argentina,France,12,0.5,0.25,0.25
France,Argentina,12,0.25,0.5,0.25
Argentina,Germany,23,0.434782609,0.304347826,0.260869565
Germany,Argentina,23,0.304347826,0.434782609,0.260869565
Argentina,Ghana,1,1,0,0
Ghana,Argentina,1,0,1,0
Argentina,Iran,2,0.5,0,0.5
Iran,Argentina,2,0,0.5,0.5
Argentina,Japan,7,0.857142857,0.142857143,0
Japan,Argentina,7,0.142857143,0.857142857,0
Argentina,Mexico,31,0.483870968,0.129032258,0.387096774
Mexico,Argentina,31,0.129032258,0.483870968,0.387096774
Argentina,Morocco,3,1,0,0
Morocco,Argentina,3,0,1,0
Argentina,Netherlands,9,0.111111111,0.444444444,0.444444444
Netherlands,Argentina,9,0.444444444,0.111111111,0.444444444
Argentina,Poland,11,0.545454545,0.272727273,0.181818182
Poland,Argentina,11,0.272727273,0.545454545,0.181818182
Argentina,Portugal,8,0.625,0.25,0.125
Portugal,Argentina,8,0.25,0.625,0.125
Argentina,Saudi Arabia,4,0.5,0,0.5
Saudi Arabia,Argentina,4,0,0.5,0.5
Argentina,Serbia,4,0.75,0.25,0
Serbia,Argentina,4,0.25,0.75,0
Argentina,South Korea,3,1,0,0
South Korea,Argentina,3,0,1,0
Argentina,Spain,14,0.428571429,0.428571429,0.142857143
Spain,Argentina,14,0.428571429,0.428571429,0.142857143
Argentina,Switzerland,7,0.714285714,0,0.285714286
Switzerland,Argentina,7,0,0.714285714,0.285714286
Argentina,Tunisia,1,1,0,0
Tunisia,Argentina,1,0,1,0
Argentina,Uruguay,179,0.469273743,0.290502793,0.240223464
Uruguay,Argentina,179,0.290502793,0.469273743,0.240223464
Argentina,Wales,2,0.5,0,0.5
Wales,Argentina,2,0,0.5,0.5
Australia,Brazil,8,0.125,0.75,0.125
Brazil,Australia,8,0.75,0.125,0.125
Australia,Canada,9,0.555555556,0.333333333,0.111111111
Canada,Australia,9,0.333333333,0.555555556,0.111111111
Australia,Costa Rica,1,1,0,0
Costa Rica,Australia,1,0,1,0
Australia,Croatia,6,0.333333333,0.333333333,0.333333333
Croatia,Australia,6,0.333333333,0.333333333,0.333333333
Australia,Denmark,4,0.25,0.5,0.25
Denmark,Australia,4,0.5,0.25,0.25
Australia,Ecuador,1,0,1,0
Ecuador,Australia,1,1,0,0
Australia,England,7,0.142857143,0.571428571,0.285714286
England,Australia,7,0.571428571,0.142857143,0.285714286
Australia,France,5,0.2,0.6,0.2
France,Australia,5,0.6,0.2,0.2
Australia,Germany,6,0.166666667,0.666666667,0.166666667
Germany,Australia,6,0.666666667,0.166666667,0.166666667
Australia,Ghana,7,0.571428571,0.142857143,0.285714286
Ghana,Australia,7,0.142857143,0.571428571,0.285714286
Australia,Iran,7,0.285714286,0.428571429,0.285714286
Iran,Australia,7,0.428571429,0.285714286,0.285714286
Australia,Japan,26,0.230769231,0.423076923,0.346153846
Japan,Australia,26,0.423076923,0.230769231,0.346153846
Australia,Mexico,4,0.5,0,0.5
Mexico,Australia,4,0,0.5,0.5
Australia,Morocco,1,1,0,0
Morocco,Australia,1,0,1,0
Australia,Netherlands,4,0.25,0.25,0.5
Netherlands,Australia,4,0.25,0.25,0.5
Australia,Qatar,5,0.6,0.2,0.2
Qatar,Australia,5,0.2,0.6,0.2
